 	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1.000	1.000	87.000	70.000	-1.000	-1.000	156.000
2	1.000	2.000	87.000	70.000	0.000	0.000	153.000
3	1.000	3.000	87.000	66.000	0.516	0.258	151.000
4	1.000	4.000	87.000	58.000	1.032	0.516	148.000
5	1.000	5.000	84.000	51.000	0.982	0.491	153.000
6	1.000	6.000	79.000	48.000	0.752	0.376	153.000
7	1.000	7.000	70.000	47.000	1.168	0.584	177.000
8	1.000	8.000	21.000	50.000	6.333	3.166	174.000
9	1.000	9.000	13.000	44.000	1.290	0.645	187.000
10	1.000	10.000	11.000	46.000	0.365	0.182	194.000
11	1.000	11.000	11.000	47.000	0.129	0.064	205.000
12	1.000	12.000	26.000	74.000	3.984	1.992	213.000
13	1.000	13.000	59.000	79.000	4.306	2.153	233.000
14	1.000	14.000	59.000	79.000	0.000	0.000	229.000
15	1.000	15.000	59.000	79.000	0.000	0.000	233.000
16	1.000	16.000	70.000	65.000	2.297	1.148	174.000
17	1.000	17.000	76.000	64.000	0.785	0.392	225.000
18	1.000	18.000	77.000	58.000	0.785	0.392	213.000
19	1.000	19.000	78.000	51.000	0.912	0.456	174.000
20	1.000	20.000	78.000	46.000	0.645	0.322	148.000
21	1.000	21.000	40.000	16.000	6.246	3.123	174.000
22	1.000	22.000	30.000	20.000	1.389	0.695	174.000
23	1.000	23.000	19.000	25.000	1.559	0.779	130.000
24	1.000	24.000	14.000	34.000	1.328	0.664	110.000
25	1.000	25.000	11.000	66.000	4.146	2.073	127.000
26	1.000	26.000	43.000	98.000	5.838	2.919	112.000
27	1.000	27.000	54.000	98.000	1.419	0.710	159.000
28	1.000	28.000	54.000	98.000	0.000	0.000	153.000
29	1.000	29.000	68.000	89.000	2.147	1.073	174.000
30	1.000	30.000	87.000	69.000	3.559	1.779	174.000
31	1.000	31.000	84.000	32.000	4.789	2.394	162.000
32	1.000	32.000	79.000	20.000	1.677	0.838	174.000
33	1.000	33.000	79.000	20.000	0.000	0.000	180.000
34	1.000	34.000	77.000	19.000	0.288	0.144	171.000
35	1.000	35.000	61.000	6.000	2.659	1.330	132.000
36	1.000	36.000	46.000	6.000	1.935	0.968	183.000
37	1.000	37.000	55.000	45.000	5.163	2.582	180.000
38	1.000	38.000	83.000	73.000	5.108	2.554	194.000
39	1.000	39.000	83.000	73.000	0.000	0.000	177.000
40	1.000	40.000	83.000	73.000	0.000	0.000	187.000
41	1.000	41.000	83.000	73.000	0.000	0.000	174.000
42	1.000	42.000	82.000	75.000	0.288	0.144	229.000
43	1.000	43.000	80.000	78.000	0.465	0.233	191.000
44	1.000	44.000	80.000	78.000	0.000	0.000	205.000
45	1.000	45.000	67.000	83.000	1.797	0.898	171.000
46	1.000	46.000	57.000	83.000	1.290	0.645	213.000
47	1.000	47.000	57.000	83.000	0.000	0.000	229.000
48	1.000	48.000	55.000	82.000	0.288	0.144	225.000
49	1.000	49.000	52.000	83.000	0.408	0.204	205.000
50	1.000	50.000	60.000	88.000	1.217	0.608	171.000
51	1.000	51.000	65.000	87.000	0.658	0.329	167.000
52	1.000	52.000	70.000	85.000	0.695	0.347	220.000
53	1.000	53.000	86.000	75.000	2.434	1.217	174.000
54	1.000	54.000	86.000	71.000	0.516	0.258	177.000
55	1.000	55.000	74.000	75.000	1.632	0.816	194.000
56	1.000	56.000	70.000	76.000	0.532	0.266	209.000
57	1.000	57.000	56.000	87.000	2.297	1.148	220.000
58	1.000	58.000	56.000	87.000	0.000	0.000	194.000
59	1.000	59.000	41.000	85.000	1.952	0.976	233.000
60	1.000	60.000	33.000	82.000	1.102	0.551	194.000
61	1.000	61.000	33.000	82.000	0.000	0.000	201.000
62	1.000	62.000	20.000	68.000	2.465	1.232	205.000
