 	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1.000	1.000	63.000	13.000	-1.000	-1.000	107.000
2	1.000	2.000	61.000	15.000	0.365	0.182	159.000
3	1.000	3.000	60.000	14.000	0.182	0.091	151.000
4	1.000	4.000	60.000	13.000	0.129	0.064	126.000
5	1.000	5.000	55.000	13.000	0.645	0.322	165.000
6	1.000	6.000	45.000	12.000	1.296	0.648	133.000
7	1.000	7.000	38.000	13.000	0.912	0.456	119.000
8	1.000	8.000	30.000	16.000	1.102	0.551	119.000
9	1.000	9.000	27.000	19.000	0.547	0.274	103.000
10	1.000	10.000	14.000	32.000	2.372	1.186	148.000
11	1.000	11.000	8.000	51.000	2.570	1.285	142.000
12	1.000	12.000	8.000	51.000	0.000	0.000	142.000
13	1.000	13.000	11.000	75.000	3.120	1.560	145.000
14	1.000	14.000	11.000	75.000	0.000	0.000	142.000
15	1.000	15.000	41.000	99.000	4.956	2.478	136.000
16	1.000	16.000	41.000	99.000	0.000	0.000	139.000
17	1.000	17.000	51.000	101.000	1.316	0.658	133.000
18	1.000	18.000	54.000	101.000	0.387	0.194	142.000
19	1.000	19.000	74.000	94.000	2.733	1.367	139.000
20	1.000	20.000	75.000	93.000	0.182	0.091	129.000
21	1.000	21.000	76.000	93.000	0.129	0.064	136.000
22	1.000	22.000	76.000	93.000	0.000	0.000	142.000
23	1.000	23.000	82.000	89.000	0.930	0.465	136.000
24	1.000	24.000	82.000	89.000	0.000	0.000	133.000
25	1.000	25.000	64.000	95.000	2.448	1.224	159.000
26	1.000	26.000	64.000	95.000	0.000	0.000	169.000
27	1.000	27.000	64.000	95.000	0.000	0.000	145.000
28	1.000	28.000	76.000	90.000	1.677	0.838	165.000
29	1.000	29.000	79.000	81.000	1.224	0.612	129.000
30	1.000	30.000	79.000	81.000	0.000	0.000	136.000
31	1.000	31.000	79.000	81.000	0.000	0.000	194.000
32	1.000	32.000	79.000	22.000	7.611	3.806	126.000
33	1.000	33.000	79.000	22.000	0.000	0.000	129.000
34	1.000	34.000	79.000	22.000	0.000	0.000	124.000
35	1.000	35.000	79.000	22.000	0.000	0.000	129.000
36	1.000	36.000	79.000	22.000	0.000	0.000	124.000
37	1.000	37.000	79.000	22.000	0.000	0.000	126.000
38	1.000	38.000	79.000	22.000	0.000	0.000	126.000
39	1.000	39.000	79.000	22.000	0.000	0.000	129.000
40	1.000	40.000	79.000	22.000	0.000	0.000	124.000
41	1.000	41.000	79.000	23.000	0.129	0.064	129.000
42	1.000	42.000	79.000	23.000	0.000	0.000	126.000
43	1.000	43.000	72.000	22.000	0.912	0.456	154.000
44	1.000	44.000	71.000	22.000	0.129	0.064	122.000
45	1.000	45.000	71.000	22.000	0.000	0.000	142.000
46	1.000	46.000	67.000	21.000	0.532	0.266	169.000
47	1.000	47.000	66.000	21.000	0.129	0.064	165.000
48	1.000	48.000	63.000	20.000	0.408	0.204	181.000
49	1.000	49.000	61.000	18.000	0.365	0.182	136.000
50	1.000	50.000	61.000	18.000	0.000	0.000	181.000
51	1.000	51.000	40.000	18.000	2.709	1.354	157.000
52	1.000	52.000	40.000	18.000	0.000	0.000	151.000
53	1.000	53.000	40.000	18.000	0.000	0.000	154.000
54	1.000	54.000	40.000	18.000	0.000	0.000	157.000
55	1.000	55.000	40.000	18.000	0.000	0.000	159.000
56	1.000	56.000	40.000	18.000	0.000	0.000	157.000
57	1.000	57.000	22.000	33.000	3.023	1.511	165.000
58	1.000	58.000	22.000	33.000	0.000	0.000	169.000
59	1.000	59.000	19.000	39.000	0.865	0.433	204.000
60	1.000	60.000	15.000	48.000	1.271	0.635	136.000
61	1.000	61.000	15.000	48.000	0.000	0.000	145.000
62	1.000	62.000	15.000	57.000	1.161	0.580	151.000
