 	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	5	1	66	102	-1	-1	149
2	5	2	61	100	0.695	0.347	178
3	5	3	60	100	0.129	0.064	159
4	5	4	58	100	0.258	0.129	149
5	5	5	57	99	0.182	0.091	183
6	5	6	47	95	1.389	0.695	146
7	5	7	44	91	0.645	0.322	111
8	5	8	44	91	0	0	207
9	5	9	34	71	2.885	1.442	199
10	5	10	41	33	4.984	2.492	133
11	5	11	43	33	0.258	0.129	149
12	5	12	44	31	0.288	0.144	133
13	5	13	49	25	1.008	0.504	135
14	5	14	58	24	1.168	0.584	152
15	5	15	67	23	1.168	0.584	168
16	5	16	79	19	1.632	0.816	135
17	5	17	79	19	0	0	119
18	5	18	79	19	0	0	130
19	5	19	79	19	0	0	138
20	5	20	87	23	1.154	0.577	171
21	5	21	89	24	0.288	0.144	188
22	5	22	98	29	1.328	0.664	152
23	5	23	102	35	0.93	0.465	183
24	5	24	106	43	1.154	0.577	168
25	5	25	109	47	0.645	0.322	207
26	5	26	110	71	3.099	1.549	238
27	5	27	110	71	0	0	238
28	5	28	110	71	0	0	231
29	5	29	110	71	0	0	227
30	5	30	110	71	0	0	224
31	5	31	110	71	0	0	238
32	5	32	44	84	8.678	4.339	199
33	5	33	44	84	0	0	192
34	5	34	43	83	0.182	0.091	183
35	5	35	40	78	0.752	0.376	149
36	5	36	40	73	0.645	0.322	138
37	5	37	38	68	0.695	0.347	171
38	5	38	36	47	2.721	1.361	146
39	5	39	39	40	0.982	0.491	155
40	5	40	42	38	0.465	0.233	168
41	5	41	51	28	1.736	0.868	138
42	5	42	51	28	0	0	163
43	5	43	57	25	0.865	0.433	121
44	5	44	58	24	0.182	0.091	149
45	5	45	58	24	0	0	152
46	5	46	58	24	0	0	138
47	5	47	60	22	0.365	0.182	121
48	5	48	63	20	0.465	0.233	130
49	5	49	65	19	0.288	0.144	121
50	5	50	72	19	0.903	0.452	146
51	5	51	74	20	0.288	0.144	188
52	5	52	80	21	0.785	0.392	195
53	5	53	80	21	0	0	203
54	5	54	80	21	0	0	195
55	5	55	80	20	0.129	0.064	199
56	5	56	81	20	0.129	0.064	178
57	5	57	82	20	0.129	0.064	188
58	5	58	82	20	0	0	183
59	5	59	91	21	1.168	0.584	159
60	5	60	92	22	0.182	0.091	178
61	5	61	93	22	0.129	0.064	155
62	5	62	93	22	0	0	159
