 	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1.000	1.000	66.000	99.000	-1.000	-1.000	169.000
2	1.000	2.000	53.000	101.000	1.697	0.848	150.000
3	1.000	3.000	53.000	101.000	0.000	0.000	145.000
4	1.000	4.000	47.000	95.000	1.095	0.547	193.000
5	1.000	5.000	21.000	85.000	3.594	1.797	140.000
6	1.000	6.000	21.000	83.000	0.258	0.129	163.000
7	1.000	7.000	20.000	81.000	0.288	0.144	169.000
8	1.000	8.000	18.000	79.000	0.365	0.182	150.000
9	1.000	9.000	16.000	75.000	0.577	0.288	163.000
10	1.000	10.000	19.000	74.000	0.408	0.204	175.000
11	1.000	11.000	15.000	56.000	2.379	1.189	169.000
12	1.000	12.000	15.000	56.000	0.000	0.000	181.000
13	1.000	13.000	15.000	56.000	0.000	0.000	175.000
14	1.000	14.000	15.000	55.000	0.129	0.064	163.000
15	1.000	15.000	18.000	35.000	2.609	1.304	150.000
16	1.000	16.000	21.000	27.000	1.102	0.551	145.000
17	1.000	17.000	22.000	26.000	0.182	0.091	150.000
18	1.000	18.000	23.000	25.000	0.182	0.091	145.000
19	1.000	19.000	24.000	22.000	0.408	0.204	129.000
20	1.000	20.000	25.000	22.000	0.129	0.064	129.000
21	1.000	21.000	17.000	30.000	1.459	0.730	134.000
22	1.000	22.000	14.000	43.000	1.721	0.861	150.000
23	1.000	23.000	14.000	43.000	0.000	0.000	150.000
24	1.000	24.000	14.000	41.000	0.258	0.129	129.000
25	1.000	25.000	15.000	41.000	0.129	0.064	129.000
26	1.000	26.000	15.000	39.000	0.258	0.129	129.000
27	1.000	27.000	15.000	39.000	0.000	0.000	140.000
28	1.000	28.000	15.000	39.000	0.000	0.000	140.000
29	1.000	29.000	15.000	39.000	0.000	0.000	129.000
30	1.000	30.000	15.000	39.000	0.000	0.000	125.000
31	1.000	31.000	15.000	39.000	0.000	0.000	134.000
32	1.000	32.000	9.000	44.000	1.008	0.504	83.000
33	1.000	33.000	9.000	44.000	0.000	0.000	90.000
34	1.000	34.000	9.000	44.000	0.000	0.000	90.000
35	1.000	35.000	9.000	44.000	0.000	0.000	88.000
36	1.000	36.000	9.000	44.000	0.000	0.000	85.000
37	1.000	37.000	9.000	44.000	0.000	0.000	90.000
38	1.000	38.000	9.000	44.000	0.000	0.000	90.000
39	1.000	39.000	9.000	44.000	0.000	0.000	85.000
40	1.000	40.000	9.000	44.000	0.000	0.000	90.000
41	1.000	41.000	9.000	44.000	0.000	0.000	88.000
42	1.000	42.000	9.000	44.000	0.000	0.000	93.000
43	1.000	43.000	9.000	44.000	0.000	0.000	90.000
44	1.000	44.000	9.000	44.000	0.000	0.000	90.000
45	1.000	45.000	9.000	44.000	0.000	0.000	90.000
46	1.000	46.000	9.000	44.000	0.000	0.000	88.000
47	1.000	47.000	9.000	44.000	0.000	0.000	90.000
48	1.000	48.000	9.000	44.000	0.000	0.000	90.000
49	1.000	49.000	9.000	44.000	0.000	0.000	85.000
50	1.000	50.000	9.000	44.000	0.000	0.000	88.000
51	1.000	51.000	9.000	44.000	0.000	0.000	90.000
52	1.000	52.000	10.000	51.000	0.912	0.456	134.000
53	1.000	53.000	12.000	62.000	1.442	0.721	169.000
54	1.000	54.000	13.000	63.000	0.182	0.091	163.000
55	1.000	55.000	10.000	61.000	0.465	0.233	156.000
56	1.000	56.000	10.000	61.000	0.000	0.000	156.000
57	1.000	57.000	10.000	61.000	0.000	0.000	156.000
58	1.000	58.000	10.000	61.000	0.000	0.000	156.000
59	1.000	59.000	10.000	61.000	0.000	0.000	156.000
60	1.000	60.000	10.000	61.000	0.000	0.000	156.000
61	1.000	61.000	10.000	61.000	0.000	0.000	156.000
62	1.000	62.000	10.000	61.000	0.000	0.000	156.000
