 	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1.000	1.000	100.000	67.000	-1.000	-1.000	126.000
2	1.000	2.000	97.000	71.000	0.645	0.322	132.000
3	1.000	3.000	81.000	92.000	3.406	1.703	147.000
4	1.000	4.000	80.000	94.000	0.288	0.144	132.000
5	1.000	5.000	80.000	93.000	0.129	0.064	121.000
6	1.000	6.000	75.000	93.000	0.645	0.322	172.000
7	1.000	7.000	73.000	93.000	0.258	0.129	160.000
8	1.000	8.000	68.000	95.000	0.695	0.347	192.000
9	1.000	9.000	60.000	96.000	1.040	0.520	219.000
10	1.000	10.000	33.000	92.000	3.521	1.761	192.000
11	1.000	11.000	28.000	90.000	0.695	0.347	150.000
12	1.000	12.000	23.000	83.000	1.110	0.555	169.000
13	1.000	13.000	22.000	80.000	0.408	0.204	179.000
14	1.000	14.000	22.000	62.000	2.322	1.161	175.000
15	1.000	15.000	20.000	41.000	2.721	1.361	135.000
16	1.000	16.000	20.000	39.000	0.258	0.129	141.000
17	1.000	17.000	26.000	34.000	1.008	0.504	141.000
18	1.000	18.000	27.000	31.000	0.408	0.204	144.000
19	1.000	19.000	49.000	28.000	2.864	1.432	132.000
20	1.000	20.000	49.000	27.000	0.129	0.064	135.000
21	1.000	21.000	47.000	27.000	0.258	0.129	95.000
22	1.000	22.000	63.000	16.000	2.505	1.252	117.000
23	1.000	23.000	64.000	15.000	0.182	0.091	84.000
24	1.000	24.000	66.000	15.000	0.258	0.129	95.000
25	1.000	25.000	66.000	15.000	0.000	0.000	112.000
26	1.000	26.000	84.000	24.000	2.596	1.298	95.000
27	1.000	27.000	88.000	28.000	0.730	0.365	75.000
28	1.000	28.000	87.000	29.000	0.182	0.091	102.000
29	1.000	29.000	88.000	31.000	0.288	0.144	150.000
30	1.000	30.000	88.000	31.000	0.000	0.000	156.000
31	1.000	31.000	88.000	31.000	0.000	0.000	147.000
32	1.000	32.000	100.000	35.000	1.632	0.816	121.000
33	1.000	33.000	100.000	35.000	0.000	0.000	123.000
34	1.000	34.000	100.000	35.000	0.000	0.000	137.000
35	1.000	35.000	101.000	35.000	0.129	0.064	91.000
36	1.000	36.000	103.000	38.000	0.465	0.233	93.000
37	1.000	37.000	103.000	46.000	1.032	0.516	182.000
38	1.000	38.000	103.000	48.000	0.258	0.129	206.000
39	1.000	39.000	103.000	48.000	0.000	0.000	210.000
40	1.000	40.000	105.000	65.000	2.208	1.104	115.000
41	1.000	41.000	105.000	65.000	0.000	0.000	117.000
42	1.000	42.000	105.000	65.000	0.000	0.000	119.000
43	1.000	43.000	96.000	73.000	1.553	0.777	150.000
44	1.000	44.000	95.000	73.000	0.129	0.064	141.000
45	1.000	45.000	94.000	73.000	0.129	0.064	175.000
46	1.000	46.000	94.000	73.000	0.000	0.000	175.000
47	1.000	47.000	94.000	73.000	0.000	0.000	172.000
48	1.000	48.000	94.000	73.000	0.000	0.000	137.000
49	1.000	49.000	94.000	77.000	0.516	0.258	215.000
50	1.000	50.000	96.000	79.000	0.365	0.182	160.000
51	1.000	51.000	96.000	80.000	0.129	0.064	199.000
52	1.000	52.000	94.000	85.000	0.695	0.347	137.000
53	1.000	53.000	57.000	91.000	4.835	2.418	192.000
54	1.000	54.000	57.000	91.000	0.000	0.000	210.000
55	1.000	55.000	32.000	80.000	3.523	1.762	104.000
56	1.000	56.000	32.000	78.000	0.258	0.129	121.000
57	1.000	57.000	32.000	78.000	0.000	0.000	123.000
58	1.000	58.000	32.000	78.000	0.000	0.000	147.000
59	1.000	59.000	31.000	78.000	0.129	0.064	172.000
60	1.000	60.000	32.000	78.000	0.129	0.064	129.000
61	1.000	61.000	32.000	78.000	0.000	0.000	126.000
62	1.000	62.000	32.000	78.000	0.000	0.000	129.000
