 	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1.000	1.000	38.000	10.000	-1.000	-1.000	135.000
2	1.000	2.000	38.000	10.000	0.000	0.000	124.000
3	1.000	3.000	46.000	9.000	1.040	0.520	128.000
4	1.000	4.000	51.000	10.000	0.658	0.329	117.000
5	1.000	5.000	52.000	9.000	0.182	0.091	117.000
6	1.000	6.000	56.000	9.000	0.516	0.258	117.000
7	1.000	7.000	56.000	9.000	0.000	0.000	112.000
8	1.000	8.000	56.000	9.000	0.000	0.000	121.000
9	1.000	9.000	56.000	9.000	0.000	0.000	117.000
10	1.000	10.000	62.000	10.000	0.785	0.392	114.000
11	1.000	11.000	62.000	11.000	0.129	0.064	124.000
12	1.000	12.000	64.000	11.000	0.258	0.129	112.000
13	1.000	13.000	67.000	14.000	0.547	0.274	141.000
14	1.000	14.000	70.000	15.000	0.408	0.204	138.000
15	1.000	15.000	73.000	17.000	0.465	0.233	132.000
16	1.000	16.000	77.000	18.000	0.532	0.266	128.000
17	1.000	17.000	85.000	39.000	2.899	1.449	159.000
18	1.000	18.000	86.000	39.000	0.129	0.064	128.000
19	1.000	19.000	88.000	41.000	0.365	0.182	132.000
20	1.000	20.000	97.000	53.000	1.935	0.968	141.000
21	1.000	21.000	97.000	53.000	0.000	0.000	138.000
22	1.000	22.000	96.000	57.000	0.532	0.266	117.000
23	1.000	23.000	94.000	60.000	0.465	0.233	121.000
24	1.000	24.000	94.000	61.000	0.129	0.064	128.000
25	1.000	25.000	85.000	82.000	2.947	1.474	141.000
26	1.000	26.000	79.000	90.000	1.290	0.645	121.000
27	1.000	27.000	77.000	91.000	0.288	0.144	128.000
28	1.000	28.000	76.000	92.000	0.182	0.091	114.000
29	1.000	29.000	71.000	94.000	0.695	0.347	132.000
30	1.000	30.000	69.000	95.000	0.288	0.144	132.000
31	1.000	31.000	67.000	97.000	0.365	0.182	135.000
32	1.000	32.000	63.000	101.000	0.730	0.365	93.000
33	1.000	33.000	64.000	101.000	0.129	0.064	84.000
34	1.000	34.000	69.000	101.000	0.645	0.322	128.000
35	1.000	35.000	81.000	98.000	1.596	0.798	132.000
36	1.000	36.000	91.000	94.000	1.389	0.695	144.000
37	1.000	37.000	95.000	90.000	0.730	0.365	144.000
38	1.000	38.000	96.000	85.000	0.658	0.329	144.000
39	1.000	39.000	98.000	68.000	2.208	1.104	124.000
40	1.000	40.000	99.000	64.000	0.532	0.266	117.000
41	1.000	41.000	99.000	63.000	0.129	0.064	114.000
42	1.000	42.000	97.000	33.000	3.879	1.939	124.000
43	1.000	43.000	97.000	31.000	0.258	0.129	138.000
44	1.000	44.000	86.000	21.000	1.918	0.959	128.000
45	1.000	45.000	83.000	17.000	0.645	0.322	117.000
46	1.000	46.000	82.000	16.000	0.182	0.091	124.000
47	1.000	47.000	78.000	14.000	0.577	0.288	121.000
48	1.000	48.000	69.000	12.000	1.189	0.595	138.000
49	1.000	49.000	69.000	12.000	0.000	0.000	132.000
50	1.000	50.000	61.000	9.000	1.102	0.551	124.000
51	1.000	51.000	39.000	10.000	2.841	1.420	135.000
52	1.000	52.000	39.000	10.000	0.000	0.000	128.000
53	1.000	53.000	43.000	11.000	0.532	0.266	132.000
54	1.000	54.000	43.000	11.000	0.000	0.000	135.000
55	1.000	55.000	36.000	12.000	0.912	0.456	128.000
56	1.000	56.000	36.000	12.000	0.000	0.000	135.000
57	1.000	57.000	38.000	11.000	0.288	0.144	128.000
58	1.000	58.000	40.000	10.000	0.288	0.144	135.000
59	1.000	59.000	41.000	10.000	0.129	0.064	128.000
60	1.000	60.000	36.000	13.000	0.752	0.376	135.000
61	1.000	61.000	42.000	11.000	0.816	0.408	132.000
62	1.000	62.000	42.000	11.000	0.000	0.000	132.000
