 	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1.000	1.000	39.000	9.000	-1.000	-1.000	95.000
2	1.000	2.000	44.000	9.000	0.645	0.322	108.000
3	1.000	3.000	69.000	15.000	3.317	1.658	123.000
4	1.000	4.000	73.000	19.000	0.730	0.365	116.000
5	1.000	5.000	88.000	33.000	2.647	1.323	108.000
6	1.000	6.000	88.000	33.000	0.000	0.000	108.000
7	1.000	7.000	88.000	36.000	0.387	0.194	120.000
8	1.000	8.000	88.000	36.000	0.000	0.000	112.000
9	1.000	9.000	89.000	43.000	0.912	0.456	108.000
10	1.000	10.000	89.000	44.000	0.129	0.064	137.000
11	1.000	11.000	90.000	50.000	0.785	0.392	133.000
12	1.000	12.000	91.000	61.000	1.425	0.712	120.000
13	1.000	13.000	87.000	71.000	1.389	0.695	120.000
14	1.000	14.000	81.000	81.000	1.504	0.752	101.000
15	1.000	15.000	81.000	81.000	0.000	0.000	99.000
16	1.000	16.000	77.000	85.000	0.730	0.365	99.000
17	1.000	17.000	69.000	88.000	1.102	0.551	141.000
18	1.000	18.000	69.000	89.000	0.129	0.064	137.000
19	1.000	19.000	66.000	91.000	0.465	0.233	105.000
20	1.000	20.000	65.000	92.000	0.182	0.091	116.000
21	1.000	21.000	26.000	57.000	6.760	3.380	110.000
22	1.000	22.000	27.000	54.000	0.408	0.204	133.000
23	1.000	23.000	14.000	46.000	1.969	0.985	84.000
24	1.000	24.000	14.000	45.000	0.129	0.064	126.000
25	1.000	25.000	14.000	45.000	0.000	0.000	120.000
26	1.000	26.000	14.000	44.000	0.129	0.064	156.000
27	1.000	27.000	8.000	45.000	0.785	0.392	105.000
28	1.000	28.000	8.000	45.000	0.000	0.000	108.000
29	1.000	29.000	8.000	45.000	0.000	0.000	91.000
30	1.000	30.000	40.000	84.000	6.508	3.254	99.000
31	1.000	31.000	40.000	84.000	0.000	0.000	156.000
32	1.000	32.000	66.000	94.000	3.594	1.797	147.000
33	1.000	33.000	81.000	83.000	2.400	1.200	126.000
34	1.000	34.000	81.000	83.000	0.000	0.000	120.000
35	1.000	35.000	26.000	94.000	7.236	3.618	116.000
36	1.000	36.000	19.000	89.000	1.110	0.555	123.000
37	1.000	37.000	18.000	88.000	0.182	0.091	126.000
38	1.000	38.000	18.000	87.000	0.129	0.064	170.000
39	1.000	39.000	15.000	81.000	0.865	0.433	153.000
40	1.000	40.000	15.000	80.000	0.129	0.064	153.000
41	1.000	41.000	10.000	75.000	0.912	0.456	108.000
42	1.000	42.000	9.000	68.000	0.912	0.456	164.000
43	1.000	43.000	7.000	64.000	0.577	0.288	159.000
44	1.000	44.000	6.000	62.000	0.288	0.144	97.000
45	1.000	45.000	6.000	61.000	0.129	0.064	126.000
46	1.000	46.000	7.000	61.000	0.129	0.064	159.000
47	1.000	47.000	24.000	22.000	5.488	2.744	99.000
48	1.000	48.000	36.000	20.000	1.569	0.785	123.000
49	1.000	49.000	46.000	18.000	1.316	0.658	128.000
50	1.000	50.000	72.000	24.000	3.442	1.721	123.000
51	1.000	51.000	72.000	25.000	0.129	0.064	120.000
52	1.000	52.000	87.000	58.000	4.676	2.338	123.000
53	1.000	53.000	87.000	62.000	0.516	0.258	131.000
54	1.000	54.000	86.000	72.000	1.296	0.648	108.000
55	1.000	55.000	80.000	81.000	1.395	0.698	141.000
56	1.000	56.000	73.000	82.000	0.912	0.456	131.000
57	1.000	57.000	67.000	80.000	0.816	0.408	120.000
58	1.000	58.000	67.000	80.000	0.000	0.000	123.000
59	1.000	59.000	67.000	80.000	0.000	0.000	126.000
60	1.000	60.000	64.000	80.000	0.387	0.194	116.000
61	1.000	61.000	60.000	81.000	0.532	0.266	144.000
62	1.000	62.000	57.000	79.000	0.465	0.233	110.000
