 	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1.000	1.000	39.000	20.000	-1.000	-1.000	143.000
2	1.000	2.000	57.000	18.000	2.336	1.168	158.000
3	1.000	3.000	65.000	19.000	1.040	0.520	215.000
4	1.000	4.000	73.000	23.000	1.154	0.577	212.000
5	1.000	5.000	84.000	31.000	1.755	0.877	215.000
6	1.000	6.000	84.000	47.000	2.064	1.032	139.000
7	1.000	7.000	89.000	50.000	0.752	0.376	218.000
8	1.000	8.000	91.000	49.000	0.288	0.144	172.000
9	1.000	9.000	93.000	45.000	0.577	0.288	181.000
10	1.000	10.000	92.000	37.000	1.040	0.520	161.000
11	1.000	11.000	90.000	34.000	0.465	0.233	187.000
12	1.000	12.000	87.000	32.000	0.465	0.233	158.000
13	1.000	13.000	82.000	29.000	0.752	0.376	222.000
14	1.000	14.000	75.000	23.000	1.189	0.595	191.000
15	1.000	15.000	73.000	23.000	0.258	0.129	218.000
16	1.000	16.000	72.000	23.000	0.129	0.064	225.000
17	1.000	17.000	72.000	24.000	0.129	0.064	215.000
18	1.000	18.000	73.000	24.000	0.129	0.064	222.000
19	1.000	19.000	74.000	24.000	0.129	0.064	225.000
20	1.000	20.000	72.000	22.000	0.365	0.182	215.000
21	1.000	21.000	71.000	21.000	0.182	0.091	172.000
22	1.000	22.000	68.000	21.000	0.387	0.194	199.000
23	1.000	23.000	67.000	21.000	0.129	0.064	212.000
24	1.000	24.000	66.000	21.000	0.129	0.064	194.000
25	1.000	25.000	65.000	21.000	0.129	0.064	139.000
26	1.000	26.000	59.000	23.000	0.816	0.408	184.000
27	1.000	27.000	47.000	21.000	1.569	0.785	209.000
28	1.000	28.000	46.000	21.000	0.129	0.064	202.000
29	1.000	29.000	42.000	23.000	0.577	0.288	209.000
30	1.000	30.000	39.000	25.000	0.465	0.233	199.000
31	1.000	31.000	35.000	30.000	0.826	0.413	212.000
32	1.000	32.000	31.000	31.000	0.532	0.266	209.000
33	1.000	33.000	29.000	33.000	0.365	0.182	187.000
34	1.000	34.000	29.000	34.000	0.129	0.064	202.000
35	1.000	35.000	28.000	35.000	0.182	0.091	196.000
36	1.000	36.000	28.000	34.000	0.129	0.064	187.000
37	1.000	37.000	27.000	35.000	0.182	0.091	187.000
38	1.000	38.000	23.000	45.000	1.389	0.695	199.000
39	1.000	39.000	20.000	53.000	1.102	0.551	187.000
40	1.000	40.000	17.000	67.000	1.847	0.923	146.000
41	1.000	41.000	19.000	74.000	0.939	0.470	136.000
42	1.000	42.000	24.000	80.000	1.008	0.504	184.000
43	1.000	43.000	30.000	88.000	1.290	0.645	161.000
44	1.000	44.000	34.000	91.000	0.645	0.322	184.000
45	1.000	45.000	38.000	95.000	0.730	0.365	119.000
46	1.000	46.000	42.000	96.000	0.532	0.266	152.000
47	1.000	47.000	54.000	97.000	1.553	0.777	181.000
48	1.000	48.000	57.000	98.000	0.408	0.204	172.000
49	1.000	49.000	59.000	95.000	0.465	0.233	196.000
50	1.000	50.000	65.000	93.000	0.816	0.408	181.000
51	1.000	51.000	70.000	90.000	0.752	0.376	209.000
52	1.000	52.000	73.000	89.000	0.408	0.204	218.000
53	1.000	53.000	74.000	88.000	0.182	0.091	222.000
54	1.000	54.000	74.000	89.000	0.129	0.064	218.000
55	1.000	55.000	75.000	89.000	0.129	0.064	206.000
56	1.000	56.000	78.000	90.000	0.408	0.204	196.000
57	1.000	57.000	78.000	90.000	0.000	0.000	191.000
58	1.000	58.000	83.000	89.000	0.658	0.329	191.000
59	1.000	59.000	84.000	81.000	1.040	0.520	199.000
60	1.000	60.000	84.000	75.000	0.774	0.387	199.000
61	1.000	61.000	85.000	67.000	1.040	0.520	218.000
62	1.000	62.000	87.000	64.000	0.465	0.233	158.000
