 	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1.000	1.000	43.000	100.000	-1.000	-1.000	123.000
2	1.000	2.000	49.000	96.000	0.930	0.465	176.000
3	1.000	3.000	53.000	93.000	0.645	0.322	115.000
4	1.000	4.000	55.000	91.000	0.365	0.182	115.000
5	1.000	5.000	57.000	90.000	0.288	0.144	115.000
6	1.000	6.000	57.000	90.000	0.000	0.000	110.000
7	1.000	7.000	57.000	90.000	0.000	0.000	118.000
8	1.000	8.000	56.000	90.000	0.129	0.064	110.000
9	1.000	9.000	56.000	90.000	0.000	0.000	126.000
10	1.000	10.000	66.000	85.000	1.442	0.721	128.000
11	1.000	11.000	70.000	84.000	0.532	0.266	102.000
12	1.000	12.000	74.000	84.000	0.516	0.258	134.000
13	1.000	13.000	76.000	83.000	0.288	0.144	141.000
14	1.000	14.000	76.000	82.000	0.129	0.064	138.000
15	1.000	15.000	75.000	81.000	0.182	0.091	151.000
16	1.000	16.000	77.000	83.000	0.365	0.182	151.000
17	1.000	17.000	76.000	83.000	0.129	0.064	123.000
18	1.000	18.000	75.000	83.000	0.129	0.064	123.000
19	1.000	19.000	74.000	83.000	0.129	0.064	108.000
20	1.000	20.000	74.000	83.000	0.000	0.000	115.000
21	1.000	21.000	75.000	82.000	0.182	0.091	120.000
22	1.000	22.000	73.000	83.000	0.288	0.144	128.000
23	1.000	23.000	74.000	82.000	0.182	0.091	104.000
24	1.000	24.000	74.000	82.000	0.000	0.000	101.000
25	1.000	25.000	75.000	82.000	0.129	0.064	118.000
26	1.000	26.000	75.000	82.000	0.000	0.000	118.000
27	1.000	27.000	75.000	82.000	0.000	0.000	118.000
28	1.000	28.000	75.000	82.000	0.000	0.000	115.000
29	1.000	29.000	75.000	82.000	0.000	0.000	120.000
30	1.000	30.000	75.000	82.000	0.000	0.000	112.000
31	1.000	31.000	76.000	85.000	0.408	0.204	141.000
32	1.000	32.000	96.000	77.000	2.779	1.389	151.000
33	1.000	33.000	96.000	76.000	0.129	0.064	108.000
34	1.000	34.000	96.000	75.000	0.129	0.064	131.000
35	1.000	35.000	96.000	71.000	0.516	0.258	162.000
36	1.000	36.000	96.000	70.000	0.129	0.064	162.000
37	1.000	37.000	96.000	70.000	0.000	0.000	160.000
38	1.000	38.000	97.000	69.000	0.182	0.091	118.000
39	1.000	39.000	97.000	68.000	0.129	0.064	101.000
40	1.000	40.000	97.000	66.000	0.258	0.129	108.000
41	1.000	41.000	97.000	64.000	0.258	0.129	138.000
42	1.000	42.000	96.000	63.000	0.182	0.091	126.000
43	1.000	43.000	96.000	62.000	0.129	0.064	126.000
44	1.000	44.000	94.000	62.000	0.258	0.129	157.000
45	1.000	45.000	93.000	59.000	0.408	0.204	120.000
46	1.000	46.000	90.000	53.000	0.865	0.433	131.000
47	1.000	47.000	90.000	53.000	0.000	0.000	106.000
48	1.000	48.000	89.000	52.000	0.182	0.091	110.000
49	1.000	49.000	88.000	51.000	0.182	0.091	120.000
50	1.000	50.000	87.000	50.000	0.182	0.091	106.000
51	1.000	51.000	86.000	48.000	0.288	0.144	147.000
52	1.000	52.000	86.000	50.000	0.258	0.129	126.000
53	1.000	53.000	87.000	50.000	0.129	0.064	106.000
54	1.000	54.000	87.000	50.000	0.000	0.000	106.000
55	1.000	55.000	87.000	50.000	0.000	0.000	104.000
56	1.000	56.000	87.000	50.000	0.000	0.000	102.000
57	1.000	57.000	87.000	50.000	0.000	0.000	112.000
58	1.000	58.000	88.000	49.000	0.182	0.091	123.000
59	1.000	59.000	88.000	49.000	0.000	0.000	112.000
60	1.000	60.000	79.000	48.000	1.168	0.584	120.000
61	1.000	61.000	73.000	49.000	0.785	0.392	115.000
62	1.000	62.000	69.000	50.000	0.532	0.266	131.000
