 	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1.000	1.000	46.000	98.000	-1.000	-1.000	126.000
2	1.000	2.000	46.000	98.000	0.000	0.000	126.000
3	1.000	3.000	46.000	98.000	0.000	0.000	114.000
4	1.000	4.000	54.000	102.000	1.154	0.577	141.000
5	1.000	5.000	56.000	102.000	0.258	0.129	173.000
6	1.000	6.000	56.000	102.000	0.000	0.000	170.000
7	1.000	7.000	56.000	102.000	0.000	0.000	161.000
8	1.000	8.000	57.000	105.000	0.408	0.204	137.000
9	1.000	9.000	69.000	100.000	1.677	0.838	145.000
10	1.000	10.000	71.000	99.000	0.288	0.144	129.000
11	1.000	11.000	70.000	100.000	0.182	0.091	141.000
12	1.000	12.000	71.000	100.000	0.129	0.064	161.000
13	1.000	13.000	72.000	99.000	0.182	0.091	112.000
14	1.000	14.000	76.000	100.000	0.532	0.266	155.000
15	1.000	15.000	81.000	98.000	0.695	0.347	161.000
16	1.000	16.000	84.000	95.000	0.547	0.274	122.000
17	1.000	17.000	80.000	94.000	0.532	0.266	155.000
18	1.000	18.000	55.000	91.000	3.248	1.624	167.000
19	1.000	19.000	49.000	88.000	0.865	0.433	116.000
20	1.000	20.000	47.000	87.000	0.288	0.144	149.000
21	1.000	21.000	48.000	86.000	0.182	0.091	137.000
22	1.000	22.000	48.000	88.000	0.258	0.129	122.000
23	1.000	23.000	48.000	88.000	0.000	0.000	129.000
24	1.000	24.000	49.000	89.000	0.182	0.091	158.000
25	1.000	25.000	50.000	88.000	0.182	0.091	141.000
26	1.000	26.000	43.000	90.000	0.939	0.470	145.000
27	1.000	27.000	39.000	92.000	0.577	0.288	126.000
28	1.000	28.000	39.000	94.000	0.258	0.129	129.000
29	1.000	29.000	34.000	95.000	0.658	0.329	99.000
30	1.000	30.000	35.000	96.000	0.182	0.091	116.000
31	1.000	31.000	35.000	96.000	0.000	0.000	110.000
32	1.000	32.000	39.000	87.000	1.271	0.635	103.000
33	1.000	33.000	40.000	87.000	0.129	0.064	141.000
34	1.000	34.000	40.000	86.000	0.129	0.064	161.000
35	1.000	35.000	39.000	86.000	0.129	0.064	161.000
36	1.000	36.000	35.000	89.000	0.645	0.322	112.000
37	1.000	37.000	33.000	87.000	0.365	0.182	122.000
38	1.000	38.000	33.000	88.000	0.129	0.064	105.000
39	1.000	39.000	49.000	83.000	2.162	1.081	116.000
40	1.000	40.000	52.000	86.000	0.547	0.274	112.000
41	1.000	41.000	53.000	87.000	0.182	0.091	145.000
42	1.000	42.000	53.000	86.000	0.129	0.064	161.000
43	1.000	43.000	53.000	86.000	0.000	0.000	145.000
44	1.000	44.000	53.000	86.000	0.000	0.000	145.000
45	1.000	45.000	53.000	85.000	0.129	0.064	161.000
46	1.000	46.000	53.000	85.000	0.000	0.000	149.000
47	1.000	47.000	52.000	87.000	0.288	0.144	119.000
48	1.000	48.000	52.000	89.000	0.258	0.129	126.000
49	1.000	49.000	52.000	92.000	0.387	0.194	167.000
50	1.000	50.000	52.000	93.000	0.129	0.064	176.000
51	1.000	51.000	51.000	92.000	0.182	0.091	137.000
52	1.000	52.000	52.000	92.000	0.129	0.064	158.000
53	1.000	53.000	50.000	94.000	0.365	0.182	141.000
54	1.000	54.000	50.000	95.000	0.129	0.064	141.000
55	1.000	55.000	49.000	97.000	0.288	0.144	149.000
56	1.000	56.000	50.000	100.000	0.408	0.204	122.000
57	1.000	57.000	51.000	99.000	0.182	0.091	129.000
58	1.000	58.000	49.000	99.000	0.258	0.129	103.000
59	1.000	59.000	50.000	99.000	0.129	0.064	101.000
60	1.000	60.000	51.000	100.000	0.182	0.091	122.000
61	1.000	61.000	52.000	100.000	0.129	0.064	131.000
62	1.000	62.000	51.000	99.000	0.182	0.091	101.000
