 	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1	1	64	25	-1	-1	118
2	1	2	75	30	1.559	0.779	129
3	1	3	98	55	4.382	2.191	131
4	1	4	99	58	0.408	0.204	122
5	1	5	95	95	4.801	2.400	176
6	1	6	94	94	0.182	0.091	170
7	1	7	79	106	2.478	1.239	144
8	1	8	78	106	0.129	0.064	144
9	1	9	62	111	2.162	1.081	188
10	1	10	44	110	2.326	1.163	181
11	1	11	43	109	0.182	0.091	179
12	1	12	44	109	0.129	0.064	191
13	1	13	24	93	3.304	1.652	201
14	1	14	16	73	2.779	1.389	116
15	1	15	16	72	0.129	0.064	112
16	1	16	19	65	0.982	0.491	138
17	1	17	23	44	2.758	1.379	122
18	1	18	37	32	2.379	1.189	154
19	1	19	43	29	0.865	0.433	145
20	1	20	55	28	1.553	0.777	182
21	1	21	65	29	1.296	0.648	167
22	1	22	95	45	4.386	2.193	131
23	1	23	99	60	2.003	1.001	163
24	1	24	96	88	3.633	1.816	161
25	1	25	96	88	0	0	144
26	1	26	77	106	3.376	1.688	207
27	1	27	75	108	0.365	0.182	135
28	1	28	76	109	0.182	0.091	170
29	1	29	75	109	0.129	0.064	161
30	1	30	53	111	2.850	1.425	164
31	1	31	31	100	3.173	1.586	148
32	1	32	13	77	3.768	1.884	131
33	1	33	13	62	1.935	0.968	128
34	1	34	18	56	1.008	0.504	116
35	1	35	19	56	0.129	0.064	164
36	1	36	23	55	0.532	0.266	114
37	1	37	23	54	0.129	0.064	132
38	1	38	29	39	2.084	1.042	144
39	1	39	31	40	0.288	0.144	150
40	1	40	31	40	0	0	152
41	1	41	41	35	1.442	0.721	128
42	1	42	40	35	0.129	0.064	205
43	1	43	43	34	0.408	0.204	173
44	1	44	42	34	0.129	0.064	130
45	1	45	42	33	0.129	0.064	161
46	1	46	43	34	0.182	0.091	172
47	1	47	43	34	0	0	176
48	1	48	44	33	0.182	0.091	175
49	1	49	52	34	1.040	0.520	168
50	1	50	53	37	0.408	0.204	156
51	1	51	53	35	0.258	0.129	197
52	1	52	67	32	1.847	0.923	144
53	1	53	67	32	0	0	132
54	1	54	67	33	0.129	0.064	149
55	1	55	67	33	0	0	142
56	1	56	67	33	0	0	135
57	1	57	67	32	0.129	0.064	145
58	1	58	67	33	0.129	0.064	133
59	1	59	88	39	2.817	1.409	137
60	1	60	90	39	0.258	0.129	153
61	1	61	98	49	1.652	0.826	128
62	1	62	103	69	2.659	1.330	118
