 	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1.000	1.000	75.000	13.000	-1.000	-1.000	101.000
2	1.000	2.000	70.000	11.000	0.695	0.347	112.000
3	1.000	3.000	69.000	11.000	0.129	0.064	114.000
4	1.000	4.000	67.000	10.000	0.288	0.144	110.000
5	1.000	5.000	32.000	12.000	4.522	2.261	114.000
6	1.000	6.000	25.000	16.000	1.040	0.520	112.000
7	1.000	7.000	22.000	19.000	0.547	0.274	112.000
8	1.000	8.000	18.000	25.000	0.930	0.465	119.000
9	1.000	9.000	13.000	35.000	1.442	0.721	127.000
10	1.000	10.000	10.000	45.000	1.347	0.673	141.000
11	1.000	11.000	10.000	47.000	0.258	0.129	165.000
12	1.000	12.000	9.000	48.000	0.182	0.091	122.000
13	1.000	13.000	10.000	68.000	2.583	1.292	122.000
14	1.000	14.000	9.000	61.000	0.912	0.456	135.000
15	1.000	15.000	13.000	74.000	1.755	0.877	127.000
16	1.000	16.000	15.000	77.000	0.465	0.233	144.000
17	1.000	17.000	17.000	81.000	0.577	0.288	135.000
18	1.000	18.000	32.000	92.000	2.400	1.200	135.000
19	1.000	19.000	52.000	95.000	2.609	1.304	131.000
20	1.000	20.000	67.000	93.000	1.952	0.976	112.000
21	1.000	21.000	69.000	91.000	0.365	0.182	124.000
22	1.000	22.000	70.000	90.000	0.182	0.091	131.000
23	1.000	23.000	69.000	90.000	0.129	0.064	138.000
24	1.000	24.000	83.000	78.000	2.379	1.189	138.000
25	1.000	25.000	87.000	71.000	1.040	0.520	124.000
26	1.000	26.000	88.000	69.000	0.288	0.144	151.000
27	1.000	27.000	93.000	58.000	1.559	0.779	124.000
28	1.000	28.000	93.000	46.000	1.548	0.774	122.000
29	1.000	29.000	89.000	25.000	2.758	1.379	105.000
30	1.000	30.000	89.000	25.000	0.000	0.000	103.000
31	1.000	31.000	72.000	13.000	2.684	1.342	117.000
32	1.000	32.000	19.000	23.000	6.958	3.479	110.000
33	1.000	33.000	20.000	23.000	0.129	0.064	105.000
34	1.000	34.000	21.000	23.000	0.129	0.064	110.000
35	1.000	35.000	22.000	24.000	0.182	0.091	124.000
36	1.000	36.000	25.000	22.000	0.465	0.233	127.000
37	1.000	37.000	27.000	20.000	0.365	0.182	122.000
38	1.000	38.000	21.000	23.000	0.865	0.433	112.000
39	1.000	39.000	23.000	22.000	0.288	0.144	127.000
40	1.000	40.000	22.000	22.000	0.129	0.064	105.000
41	1.000	41.000	19.000	25.000	0.547	0.274	105.000
42	1.000	42.000	10.000	38.000	2.040	1.020	103.000
43	1.000	43.000	8.000	49.000	1.442	0.721	131.000
44	1.000	44.000	9.000	60.000	1.425	0.712	155.000
45	1.000	45.000	9.000	64.000	0.516	0.258	151.000
46	1.000	46.000	8.000	70.000	0.785	0.392	117.000
47	1.000	47.000	14.000	79.000	1.395	0.698	138.000
48	1.000	48.000	16.000	83.000	0.577	0.288	131.000
49	1.000	49.000	16.000	83.000	0.000	0.000	127.000
50	1.000	50.000	17.000	82.000	0.182	0.091	141.000
51	1.000	51.000	17.000	81.000	0.129	0.064	165.000
52	1.000	52.000	17.000	81.000	0.000	0.000	155.000
53	1.000	53.000	17.000	81.000	0.000	0.000	159.000
54	1.000	54.000	17.000	81.000	0.000	0.000	159.000
55	1.000	55.000	19.000	87.000	0.816	0.408	135.000
56	1.000	56.000	34.000	94.000	2.135	1.068	151.000
57	1.000	57.000	42.000	97.000	1.102	0.551	155.000
58	1.000	58.000	48.000	98.000	0.785	0.392	155.000
59	1.000	59.000	83.000	81.000	5.019	2.510	124.000
60	1.000	60.000	87.000	34.000	6.085	3.042	117.000
61	1.000	61.000	87.000	38.000	0.516	0.258	131.000
62	1.000	62.000	90.000	37.000	0.408	0.204	112.000
