 	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1.000	1.000	17.000	52.000	-1.000	-1.000	134.000
2	1.000	2.000	15.000	54.000	0.365	0.182	177.000
3	1.000	3.000	15.000	55.000	0.129	0.064	204.000
4	1.000	4.000	15.000	55.000	0.000	0.000	196.000
5	1.000	5.000	15.000	54.000	0.129	0.064	180.000
6	1.000	6.000	13.000	57.000	0.465	0.233	123.000
7	1.000	7.000	13.000	60.000	0.387	0.194	160.000
8	1.000	8.000	14.000	66.000	0.785	0.392	160.000
9	1.000	9.000	15.000	66.000	0.129	0.064	216.000
10	1.000	10.000	16.000	65.000	0.182	0.091	224.000
11	1.000	11.000	16.000	68.000	0.387	0.194	210.000
12	1.000	12.000	16.000	70.000	0.258	0.129	207.000
13	1.000	13.000	17.000	76.000	0.785	0.392	160.000
14	1.000	14.000	30.000	91.000	2.561	1.280	171.000
15	1.000	15.000	31.000	91.000	0.129	0.064	191.000
16	1.000	16.000	32.000	92.000	0.182	0.091	180.000
17	1.000	17.000	32.000	93.000	0.129	0.064	168.000
18	1.000	18.000	34.000	93.000	0.258	0.129	196.000
19	1.000	19.000	34.000	94.000	0.129	0.064	171.000
20	1.000	20.000	37.000	96.000	0.465	0.233	162.000
21	1.000	21.000	41.000	97.000	0.532	0.266	187.000
22	1.000	22.000	49.000	99.000	1.064	0.532	171.000
23	1.000	23.000	47.000	98.000	0.288	0.144	160.000
24	1.000	24.000	48.000	99.000	0.182	0.091	144.000
25	1.000	25.000	48.000	98.000	0.129	0.064	180.000
26	1.000	26.000	48.000	98.000	0.000	0.000	171.000
27	1.000	27.000	46.000	98.000	0.258	0.129	154.000
28	1.000	28.000	76.000	94.000	3.904	1.952	183.000
29	1.000	29.000	79.000	92.000	0.465	0.233	165.000
30	1.000	30.000	46.000	98.000	4.327	2.163	162.000
31	1.000	31.000	45.000	98.000	0.129	0.064	123.000
32	1.000	32.000	37.000	83.000	2.193	1.096	204.000
33	1.000	33.000	37.000	83.000	0.000	0.000	210.000
34	1.000	34.000	39.000	84.000	0.288	0.144	138.000
35	1.000	35.000	41.000	85.000	0.288	0.144	191.000
36	1.000	36.000	41.000	85.000	0.000	0.000	191.000
37	1.000	37.000	38.000	83.000	0.465	0.233	196.000
38	1.000	38.000	37.000	84.000	0.182	0.091	183.000
39	1.000	39.000	37.000	83.000	0.129	0.064	210.000
40	1.000	40.000	38.000	83.000	0.129	0.064	216.000
41	1.000	41.000	39.000	83.000	0.129	0.064	191.000
42	1.000	42.000	39.000	83.000	0.000	0.000	180.000
43	1.000	43.000	39.000	84.000	0.129	0.064	147.000
44	1.000	44.000	28.000	81.000	1.471	0.735	180.000
45	1.000	45.000	16.000	64.000	2.684	1.342	157.000
46	1.000	46.000	16.000	61.000	0.387	0.194	187.000
47	1.000	47.000	17.000	59.000	0.288	0.144	200.000
48	1.000	48.000	17.000	58.000	0.129	0.064	204.000
49	1.000	49.000	17.000	63.000	0.645	0.322	196.000
50	1.000	50.000	16.000	60.000	0.408	0.204	207.000
51	1.000	51.000	15.000	34.000	3.356	1.678	112.000
52	1.000	52.000	17.000	32.000	0.365	0.182	151.000
53	1.000	53.000	18.000	31.000	0.182	0.091	196.000
54	1.000	54.000	27.000	81.000	6.554	3.277	134.000
55	1.000	55.000	24.000	77.000	0.645	0.322	168.000
56	1.000	56.000	22.000	75.000	0.365	0.182	100.000
57	1.000	57.000	22.000	74.000	0.129	0.064	104.000
58	1.000	58.000	22.000	73.000	0.129	0.064	141.000
59	1.000	59.000	22.000	73.000	0.000	0.000	141.000
60	1.000	60.000	22.000	73.000	0.000	0.000	157.000
61	1.000	61.000	23.000	74.000	0.182	0.091	117.000
62	1.000	62.000	24.000	75.000	0.182	0.091	165.000
