 	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1.000	1.000	16.000	40.000	-1.000	-1.000	169.000
2	1.000	2.000	15.000	43.000	0.408	0.204	164.000
3	1.000	3.000	33.000	94.000	6.977	3.488	245.000
4	1.000	4.000	40.000	101.000	1.277	0.639	245.000
5	1.000	5.000	46.000	104.000	0.865	0.433	172.000
6	1.000	6.000	58.000	105.000	1.553	0.777	109.000
7	1.000	7.000	75.000	103.000	2.208	1.104	207.000
8	1.000	8.000	76.000	97.000	0.785	0.392	195.000
9	1.000	9.000	82.000	94.000	0.865	0.433	232.000
10	1.000	10.000	97.000	65.000	4.212	2.106	192.000
11	1.000	11.000	96.000	52.000	1.682	0.841	197.000
12	1.000	12.000	95.000	50.000	0.288	0.144	245.000
13	1.000	13.000	90.000	42.000	1.217	0.608	242.000
14	1.000	14.000	79.000	26.000	2.505	1.252	232.000
15	1.000	15.000	52.000	17.000	3.671	1.836	215.000
16	1.000	16.000	31.000	23.000	2.817	1.409	242.000
17	1.000	17.000	27.000	29.000	0.930	0.465	242.000
18	1.000	18.000	13.000	61.000	4.506	2.253	239.000
19	1.000	19.000	13.000	64.000	0.387	0.194	229.000
20	1.000	20.000	13.000	66.000	0.258	0.129	229.000
21	1.000	21.000	13.000	66.000	0.000	0.000	226.000
22	1.000	22.000	15.000	65.000	0.288	0.144	251.000
23	1.000	23.000	18.000	78.000	1.721	0.861	239.000
24	1.000	24.000	34.000	100.000	3.509	1.755	175.000
25	1.000	25.000	38.000	100.000	0.516	0.258	236.000
26	1.000	26.000	54.000	103.000	2.100	1.050	236.000
27	1.000	27.000	66.000	100.000	1.596	0.798	226.000
28	1.000	28.000	78.000	94.000	1.731	0.865	245.000
29	1.000	29.000	82.000	93.000	0.532	0.266	195.000
30	1.000	30.000	98.000	63.000	4.386	2.193	203.000
31	1.000	31.000	97.000	59.000	0.532	0.266	192.000
32	1.000	32.000	87.000	71.000	2.015	1.008	188.000
33	1.000	33.000	76.000	84.000	2.197	1.098	242.000
34	1.000	34.000	77.000	85.000	0.182	0.091	203.000
35	1.000	35.000	76.000	86.000	0.182	0.091	242.000
36	1.000	36.000	78.000	85.000	0.288	0.144	200.000
37	1.000	37.000	79.000	85.000	0.129	0.064	195.000
38	1.000	38.000	79.000	87.000	0.258	0.129	200.000
39	1.000	39.000	79.000	86.000	0.129	0.064	188.000
40	1.000	40.000	78.000	87.000	0.182	0.091	195.000
41	1.000	41.000	78.000	86.000	0.129	0.064	188.000
42	1.000	42.000	78.000	85.000	0.129	0.064	207.000
43	1.000	43.000	76.000	87.000	0.365	0.182	236.000
44	1.000	44.000	75.000	90.000	0.408	0.204	248.000
45	1.000	45.000	69.000	92.000	0.816	0.408	251.000
46	1.000	46.000	61.000	94.000	1.064	0.532	236.000
47	1.000	47.000	56.000	96.000	0.695	0.347	236.000
48	1.000	48.000	56.000	93.000	0.387	0.194	245.000
49	1.000	49.000	54.000	92.000	0.288	0.144	203.000
50	1.000	50.000	48.000	91.000	0.785	0.392	195.000
51	1.000	51.000	41.000	89.000	0.939	0.470	184.000
52	1.000	52.000	38.000	88.000	0.408	0.204	203.000
53	1.000	53.000	36.000	89.000	0.288	0.144	245.000
54	1.000	54.000	37.000	92.000	0.408	0.204	215.000
55	1.000	55.000	33.000	90.000	0.577	0.288	210.000
56	1.000	56.000	31.000	87.000	0.465	0.233	195.000
57	1.000	57.000	29.000	85.000	0.365	0.182	169.000
58	1.000	58.000	29.000	76.000	1.161	0.580	229.000
59	1.000	59.000	30.000	73.000	0.408	0.204	248.000
60	1.000	60.000	32.000	66.000	0.939	0.470	210.000
61	1.000	61.000	39.000	62.000	1.040	0.520	245.000
62	1.000	62.000	40.000	60.000	0.288	0.144	236.000
