 	Track n°	Slice n°	X	Y	Distance	Velocity	Pixel Value
1	1.000	1.000	20.000	52.000	-1.000	-1.000	156.000
2	1.000	2.000	17.000	37.000	1.973	0.987	198.000
3	1.000	3.000	17.000	37.000	0.000	0.000	198.000
4	1.000	4.000	17.000	37.000	0.000	0.000	191.000
5	1.000	5.000	17.000	36.000	0.129	0.064	174.000
6	1.000	6.000	17.000	32.000	0.516	0.258	219.000
7	1.000	7.000	17.000	31.000	0.129	0.064	211.000
8	1.000	8.000	18.000	30.000	0.182	0.091	249.000
9	1.000	9.000	20.000	25.000	0.695	0.347	178.000
10	1.000	10.000	27.000	19.000	1.189	0.595	153.000
11	1.000	11.000	38.000	14.000	1.559	0.779	156.000
12	1.000	12.000	65.000	16.000	3.493	1.746	172.000
13	1.000	13.000	65.000	16.000	0.000	0.000	172.000
14	1.000	14.000	76.000	23.000	1.682	0.841	153.000
15	1.000	15.000	83.000	31.000	1.371	0.686	169.000
16	1.000	16.000	83.000	31.000	0.000	0.000	185.000
17	1.000	17.000	89.000	66.000	4.581	2.290	169.000
18	1.000	18.000	85.000	76.000	1.389	0.695	131.000
19	1.000	19.000	84.000	77.000	0.182	0.091	156.000
20	1.000	20.000	84.000	77.000	0.000	0.000	137.000
21	1.000	21.000	84.000	77.000	0.000	0.000	169.000
22	1.000	22.000	72.000	80.000	1.596	0.798	172.000
23	1.000	23.000	55.000	80.000	2.193	1.096	153.000
24	1.000	24.000	54.000	80.000	0.129	0.064	178.000
25	1.000	25.000	47.000	83.000	0.982	0.491	134.000
26	1.000	26.000	39.000	84.000	1.040	0.520	198.000
27	1.000	27.000	36.000	84.000	0.387	0.194	235.000
28	1.000	28.000	24.000	87.000	1.596	0.798	178.000
29	1.000	29.000	24.000	87.000	0.000	0.000	137.000
30	1.000	30.000	24.000	87.000	0.000	0.000	153.000
31	1.000	31.000	15.000	80.000	1.471	0.735	228.000
32	1.000	32.000	11.000	46.000	4.416	2.208	241.000
33	1.000	33.000	11.000	44.000	0.258	0.129	251.000
34	1.000	34.000	11.000	44.000	0.000	0.000	243.000
35	1.000	35.000	11.000	44.000	0.000	0.000	241.000
36	1.000	36.000	11.000	44.000	0.000	0.000	252.000
37	1.000	37.000	11.000	44.000	0.000	0.000	246.000
38	1.000	38.000	11.000	44.000	0.000	0.000	249.000
39	1.000	39.000	12.000	44.000	0.129	0.064	246.000
40	1.000	40.000	18.000	37.000	1.189	0.595	251.000
41	1.000	41.000	20.000	33.000	0.577	0.288	235.000
42	1.000	42.000	27.000	27.000	1.189	0.595	246.000
43	1.000	43.000	43.000	17.000	2.434	1.217	194.000
44	1.000	44.000	43.000	17.000	0.000	0.000	208.000
45	1.000	45.000	43.000	17.000	0.000	0.000	208.000
46	1.000	46.000	47.000	15.000	0.577	0.288	162.000
47	1.000	47.000	55.000	15.000	1.032	0.516	156.000
48	1.000	48.000	55.000	15.000	0.000	0.000	159.000
49	1.000	49.000	55.000	15.000	0.000	0.000	162.000
50	1.000	50.000	55.000	15.000	0.000	0.000	162.000
51	1.000	51.000	55.000	15.000	0.000	0.000	156.000
52	1.000	52.000	74.000	41.000	4.154	2.077	182.000
53	1.000	53.000	74.000	41.000	0.000	0.000	185.000
54	1.000	54.000	74.000	41.000	0.000	0.000	178.000
55	1.000	55.000	74.000	41.000	0.000	0.000	188.000
56	1.000	56.000	74.000	41.000	0.000	0.000	225.000
57	1.000	57.000	55.000	50.000	2.712	1.356	225.000
58	1.000	58.000	39.000	54.000	2.128	1.064	238.000
59	1.000	59.000	38.000	55.000	0.182	0.091	231.000
60	1.000	60.000	13.000	62.000	3.349	1.675	246.000
61	1.000	61.000	8.000	70.000	1.217	0.608	178.000
62	1.000	62.000	8.000	70.000	0.000	0.000	208.000
